Song Title,Artist,Spotify or YouTube link,Your name (or tag)
Careful You,TV on the Radio,https://open.spotify.com/track/7DjtLnZKMipNZDt6SE9iEq?si=688148646028406e,big T
The Sharpest Lives,My Chemical Romance,https://open.spotify.com/track/2kMjk14RmYyYhhSbipoa9U?si=44bf0add93874092,big T
Viva La Vida,Coldplay,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b?si=25d8339dfa644c38,wece
Brianstorm,Arctic Monkeys,https://open.spotify.com/track/5rTIpPWeO0IL4HWlGWrz5G?si=69bad7bb05f84376,big T
Wisdom of Rage,Waveshaper,https://open.spotify.com/track/3sPjbQIcFsrH4TlLWZbKo3?si=e74094c0b85d4c2b,big T
Le perv,Carpenter Brut,https://open.spotify.com/track/1coJ1H1FiEZG93naXkOsNF?si=e7ce91f6518a4791,big T
"Mohg, Lord of Blood [Synthwave Version]",CthulhuSeeker,https://open.spotify.com/track/71gVbpv2VwVHMPo5lmU9Kr?si=795db70d7a5f4d53,big T
CUT,Panchiko,https://open.spotify.com/track/2hCFo7Rd91GyhyamQgrV3b?si=7d663f6fc33f4378,big T
Jigsaw Falling Into Place,Radiohead,https://open.spotify.com/track/0YJ9FWWHn9EfnN0lHwbzvV?si=f6c9d2a005f9455d,big T
PARANOIA,Heartsteel,https://open.spotify.com/track/29WxJqIfDRMo9isV07kbJP?si=52b802a2daad4b89,wece
Looking at Me,Sabrina Carpenter,https://open.spotify.com/track/59tskctgqUmjCWAwhzYAFm?si=dec855951b9e4c8c,wece
Executioner's Calling,Pentakil,https://open.spotify.com/track/5hdHRPKv5pwB93nBq19reU?si=78251b0e73844571,big T
Thumbs,Sabrina Carpenter,https://open.spotify.com/track/6WC5fhc9XMaCrUNKNjm9xE?si=93510039609a4be6,wece
Disposable Heroes (Remastered),Metallica,https://open.spotify.com/track/2a2le1M7cmvdrg1QHH7H53?si=8f132aa4856b4846,big T
"Never - From ""Footloose"" Soundtrack",Moving Pictures,https://open.spotify.com/track/1O5Cs8QMzeJmU2UOBA6uNR?si=ef3d607d79d24624,big T
Mona Lisa,Sabrina Carpenter,https://open.spotify.com/track/7Gq4tfeuWPjr6WQiB7aBXz?si=486cc4d233b74f8b,wece
HOLIDAY,Turnstile,https://open.spotify.com/track/1dB0NylVkpjdOe8DiekIs7?si=1236c6e0cc7b4d91,big T
Diamonds Are Forever,Sabrina Carpenter,https://open.spotify.com/track/2KTdmzSdPipwFYdUdilmi3?si=ae6027a0755b4443,wece
Wheel in the Sky,Journey,https://open.spotify.com/track/215wUTQQUo2PElJFEFoB0d?si=822bc2c8fe9941eb,Infinity
Come a Little Bit Closer,Jay & the Americans,https://open.spotify.com/track/252YuUdUaC5OojaBU0H1CP?si=253be563a96a416d,big T
Everything She Wants,Wham!,https://open.spotify.com/track/5hXEcqQhEjfZdbIZLO8mf2?si=6dd0b79a1ae74234,big T
That's All - 2007 Remaster,Genesis,https://open.spotify.com/track/2zFdsAIk9r2Mi7Lmm1w3sM?si=abcc413fdd264ba3,big T
Find Me in Your Dreams,"Ace of Hearts, Deanna Gowland",https://open.spotify.com/track/7mOudA3iNHiRclctRuDzSj?si=122d77a9d68a4b12,big T
So Real,Jeff Buckley,https://open.spotify.com/track/6PBzdsMi6YNdYAevzozBRi?si=69859fd1348f424d,big T
Off the Wall,Michael Jackson,https://open.spotify.com/track/3zYpRGnnoegSpt3SguSo3W?si=7a83a5b59c8a4549,big T
Aquel Viejo Motel,David Pabon,https://www.youtube.com/watch?v=1oLnDNwXo-k,Ale :)
Cupid - Twin Ver.,FIFTY FIFTY,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7?si=56dfa4aff6524be7,wece
